STATIONID,EARTHMATID,SAMPLEID,Source,Sampler,STATION_wc_LIVE_ELEVATION,STATION_wc_LIVE_X_WGS84,STATION_wc_LIVE_Y_WGS84,STATION_wc_LIVE_SLSNOTES,SAMPLE_wc_LIVE_SAMPLETYPE,SAMPLE_wc_LIVE_PURPOSE,SAMPLE_wc_LIVE_NOTES,EARTHMAT_wc_LIVE_LITHGROUP,EARTHMAT_wc_LIVE_LITHTYPE,EARTHMAT_wc_LIVE_LITHDETAIL,EARTHMAT_wc_LIVE_MODTEXTURE,EARTHMAT_wc_LIVE_GRCRYSIZE,EARTHMAT_wc_LIVE_MAGSUSCEPT
09WCI043,09WCI043A,09WCI043A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,964.239990234375,-140.40829335,64.1919049140001,shist followed by highly bleached rocks and heterolithic breccia,hand; single,representative lithology, ,volcaniclastic,breccia (vc),felsic volcanic breccia, , ,0
09WCI047,09WCI047A,09WCI047A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1209.73999023438,-140.325806684,64.200381581,little outcrop: ground covered in thick moss.  sparse metasedimentary floa observed,hand; single,representative lithology, ,volcanic,felsic (v),dacite,pophyritic, ,0.47
09WCI048,09WCI048A,09WCI048A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1250.64001464844,-140.316483352,64.1990915800001,dacite float to 100m of the station,hand; single,representative lithology, ,plutonic,felsic (p),granodiorite,equigranular, ,4.28
09WCI049,09WCI049A,09WCI049A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1250.14001464844,-140.315500019,64.1983465800001,granodiorite,hand; single,representative lithology, ,volcanic,felsic (v),dacite, , ,6.87
09WCI053,09WCI053A,09WCI053A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1100.14001464844,-140.338375018,64.1944265800001,greenshist and metaquartzite on the opposite side of the valley,,,,plutonic,felsic (p),granodiorite, , ,17.8
09WCI054,09WCI054A,09WCI054A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,905.640014648438,-140.387600017,64.1995149140001, ,hand; single,representative lithology, ,plutonic,felsic (p),granodiorite, , ,0
09WCI059,09WCI059A,09WCI059A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1146.23999023438,-140.359095018,64.193133248,sparse metaquartzite and quartz - greenshist float; moss cover and more rocks only near the road,,,,plutonic,intermediate (p),diorite, ,medium grained 1-5 mm,4.08
09WCI060,09WCI060A,09WCI060A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1125.93994140625,-140.36000335,64.195394913,moss cover; no rocks,,,,plutonic,felsic (p),granodiorite,porphyritic,medium grained 1-5 mm,33.9
09WCI062,09WCI062A,09WCI062A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1135.5400390625,-140.352306685,64.2005749130001,scattered subcrops of granodiorite,hand; single,representative lithology, ,plutonic,felsic (p),granite, ,medium grained 1-5 mm,38.6
09WCI064,09WCI064A,09WCI064A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1122.14001464844,-140.353163352,64.201784914,granie --> granodiorite,hand; single,representative lithology, ,plutonic,felsic (p),granodiorite, ,medium grained 1-5 mm,29.4
